
############## bjorn - 07/26/20 08:33:33 EST -0500 ##############

2020-07-26 12:35:17 64 bytes from 8.8.8.8: icmp_seq=191 ttl=115 time=18.7 ms
2020-07-26 12:36:17 64 bytes from 8.8.8.8: icmp_seq=192 ttl=115 time=18.3 ms
2020-07-26 12:37:17 64 bytes from 8.8.8.8: icmp_seq=193 ttl=115 time=18.5 ms
2020-07-26 12:38:17 64 bytes from 8.8.8.8: icmp_seq=194 ttl=115 time=19.2 ms
2020-07-26 12:39:17 64 bytes from 8.8.8.8: icmp_seq=195 ttl=115 time=17.5 ms
2020-07-26 12:40:17 64 bytes from 8.8.8.8: icmp_seq=196 ttl=115 time=18.0 ms
2020-07-26 12:41:17 64 bytes from 8.8.8.8: icmp_seq=197 ttl=115 time=17.0 ms
2020-07-26 12:42:17 64 bytes from 8.8.8.8: icmp_seq=198 ttl=115 time=16.7 ms
2020-07-26 12:43:17 64 bytes from 8.8.8.8: icmp_seq=199 ttl=115 time=17.6 ms
2020-07-26 12:44:17 64 bytes from 8.8.8.8: icmp_seq=200 ttl=115 time=18.7 ms
2020-07-26 12:45:17 64 bytes from 8.8.8.8: icmp_seq=201 ttl=115 time=22.1 ms
2020-07-26 12:46:17 64 bytes from 8.8.8.8: icmp_seq=202 ttl=115 time=17.5 ms
2020-07-26 12:47:17 64 bytes from 8.8.8.8: icmp_seq=203 ttl=115 time=32.5 ms
2020-07-26 12:48:17 64 bytes from 8.8.8.8: icmp_seq=204 ttl=115 time=18.9 ms
2020-07-26 12:49:17 64 bytes from 8.8.8.8: icmp_seq=205 ttl=115 time=30.6 ms
2020-07-26 12:50:17 64 bytes from 8.8.8.8: icmp_seq=206 ttl=115 time=18.3 ms
2020-07-26 12:51:17 64 bytes from 8.8.8.8: icmp_seq=207 ttl=115 time=17.6 ms
2020-07-26 12:52:17 64 bytes from 8.8.8.8: icmp_seq=208 ttl=115 time=16.8 ms
2020-07-26 12:53:17 64 bytes from 8.8.8.8: icmp_seq=209 ttl=115 time=22.5 ms
2020-07-26 12:54:17 64 bytes from 8.8.8.8: icmp_seq=210 ttl=115 time=20.0 ms
2020-07-26 12:55:18 64 bytes from 8.8.8.8: icmp_seq=211 ttl=115 time=21.0 ms
2020-07-26 12:56:18 64 bytes from 8.8.8.8: icmp_seq=212 ttl=115 time=16.2 ms
2020-07-26 12:57:18 64 bytes from 8.8.8.8: icmp_seq=213 ttl=115 time=21.2 ms
2020-07-26 12:58:18 64 bytes from 8.8.8.8: icmp_seq=214 ttl=115 time=17.3 ms
2020-07-26 12:59:18 64 bytes from 8.8.8.8: icmp_seq=215 ttl=115 time=22.6 ms
2020-07-26 13:00:18 64 bytes from 8.8.8.8: icmp_seq=216 ttl=115 time=23.9 ms
2020-07-26 13:01:18 64 bytes from 8.8.8.8: icmp_seq=217 ttl=115 time=16.6 ms
2020-07-26 13:02:18 64 bytes from 8.8.8.8: icmp_seq=218 ttl=115 time=17.8 ms
